Provider_ID,Name,Type,Address,City,Contact
1,City Restaurant,Restaurant,"63, Main Bazaar, Mumbai",Mumbai,+91-7457223434
2,Heritage Bakery,Bakery,"109, MG Road, Delhi",Delhi,+91-7097622280
3,Urban Grocery,Grocery Store,"155, MG Road, Pune",Pune,+91-8839036062
4,Royal Bakery,Bakery,"115, Sector 12, Kolkata",Kolkata,+91-9652310851
5,Sunrise Grocery,Grocery Store,"72, Station Road, Kolkata",Kolkata,+91-7705554118
6,Golden Restaurant,Restaurant,"25, Civil Lines, Delhi",Delhi,+91-9777055082
7,Annapurna Bakery,Bakery,"187, Lake View, Hyderabad",Hyderabad,+91-8757126361
8,Urban Caterers,Catering Service,"76, Civil Lines, Delhi",Delhi,+91-8891835203
9,Royal Restaurant,Restaurant,"198, Sector 12, Mumbai",Mumbai,+91-7261440512
10,City Restaurant,Restaurant,"117, Civil Lines, Kolkata",Kolkata,+91-7532958520
11,City Supermarket,Supermarket,"180, Park Street, Pune",Pune,+91-8996093227
12,Royal Grocery,Grocery Store,"42, Lake View, Jaipur",Jaipur,+91-8243345382
13,Sunrise Bakery,Bakery,"197, MG Road, Pune",Pune,+91-7750514207
14,City Supermarket,Supermarket,"17, Main Bazaar, Kolkata",Kolkata,+91-9992184341
15,Fresh Supermarket,Supermarket,"102, Lake View, Pune",Pune,+91-7468144718
16,Urban Grocery,Grocery Store,"138, Sector 12, Pune",Pune,+91-9447886622
17,Golden Caterers,Catering Service,"93, Main Bazaar, Lucknow",Lucknow,+91-7453276784
18,Annapurna Caterers,Catering Service,"29, Station Road, Delhi",Delhi,+91-9056030969
19,Spice Garden Caterers,Catering Service,"99, Ring Road, Lucknow",Lucknow,+91-8952671348
20,Urban Bakery,Bakery,"3, Park Street, Hyderabad",Hyderabad,+91-9233880381
21,Spice Garden Supermarket,Supermarket,"76, Ring Road, Chennai",Chennai,+91-7518269470
22,Urban Restaurant,Restaurant,"196, Station Road, Hyderabad",Hyderabad,+91-8663523947
23,Heritage Supermarket,Supermarket,"51, Station Road, Jaipur",Jaipur,+91-8225231174
24,Annapurna Bakery,Bakery,"154, Civil Lines, Jaipur",Jaipur,+91-8601012552
25,City Restaurant,Restaurant,"62, MG Road, Chennai",Chennai,+91-7789284364
26,Fresh Restaurant,Restaurant,"18, Station Road, Delhi",Delhi,+91-7420796474
27,Green Leaf Caterers,Catering Service,"68, Ring Road, Jaipur",Jaipur,+91-7694080686
28,Golden Grocery,Grocery Store,"172, Civil Lines, Hyderabad",Hyderabad,+91-8435577839
29,Royal Caterers,Catering Service,"58, Park Street, Delhi",Delhi,+91-8107812757
30,Royal Bakery,Bakery,"151, Main Bazaar, Jaipur",Jaipur,+91-7023519305
31,Spice Garden Restaurant,Restaurant,"9, Civil Lines, Pune",Pune,+91-7232177391
32,Fresh Grocery,Grocery Store,"55, Station Road, Hyderabad",Hyderabad,+91-9370284847
33,Royal Bakery,Bakery,"122, Ring Road, Ahmedabad",Ahmedabad,+91-7623922363
34,Sunrise Restaurant,Restaurant,"109, Ring Road, Kolkata",Kolkata,+91-8530317100
35,Golden Restaurant,Restaurant,"187, Civil Lines, Mumbai",Mumbai,+91-9623324322
36,Royal Grocery,Grocery Store,"138, Lake View, Pune",Pune,+91-7459365296
37,Fresh Grocery,Grocery Store,"64, Park Street, Hyderabad",Hyderabad,+91-8452082132
38,Urban Restaurant,Restaurant,"4, Park Street, Mumbai",Mumbai,+91-9469240982
39,Fresh Grocery,Grocery Store,"124, Main Bazaar, Kolkata",Kolkata,+91-9833262565
40,Golden Restaurant,Restaurant,"1, Ring Road, Bangalore",Bangalore,+91-7869069638
41,Urban Supermarket,Supermarket,"170, Lake View, Kolkata",Kolkata,+91-7507234890
42,Annapurna Supermarket,Supermarket,"149, MG Road, Pune",Pune,+91-9450951104
43,Heritage Restaurant,Restaurant,"123, Station Road, Mumbai",Mumbai,+91-7186376562
44,Spice Garden Restaurant,Restaurant,"153, Park Street, Bangalore",Bangalore,+91-9212540828
45,Heritage Caterers,Catering Service,"64, MG Road, Delhi",Delhi,+91-9029520745
46,Heritage Caterers,Catering Service,"134, Civil Lines, Lucknow",Lucknow,+91-7854436772
47,City Supermarket,Supermarket,"102, Station Road, Pune",Pune,+91-9200994607
48,Sunrise Supermarket,Supermarket,"193, Park Street, Ahmedabad",Ahmedabad,+91-7030570068
49,Spice Garden Bakery,Bakery,"19, Main Bazaar, Lucknow",Lucknow,+91-8657644760
50,Spice Garden Grocery,Grocery Store,"63, Civil Lines, Chennai",Chennai,+91-7933830676
51,City Caterers,Catering Service,"157, MG Road, Jaipur",Jaipur,+91-9188482692
52,Green Leaf Supermarket,Supermarket,"68, Park Street, Delhi",Delhi,+91-9915424029
53,City Bakery,Bakery,"73, Main Bazaar, Bangalore",Bangalore,+91-9351454942
54,Urban Grocery,Grocery Store,"126, Sector 12, Hyderabad",Hyderabad,+91-9966616658
55,City Restaurant,Restaurant,"12, MG Road, Kolkata",Kolkata,+91-8092927146
56,Fresh Supermarket,Supermarket,"142, Ring Road, Bangalore",Bangalore,+91-8837911267
57,Green Leaf Restaurant,Restaurant,"140, MG Road, Delhi",Delhi,+91-9734858393
58,Green Leaf Bakery,Bakery,"111, Station Road, Jaipur",Jaipur,+91-7137050404
59,Sunrise Supermarket,Supermarket,"54, Main Bazaar, Mumbai",Mumbai,+91-9185423473
60,Golden Supermarket,Supermarket,"159, Station Road, Jaipur",Jaipur,+91-7775731299
